run_id,accuracy,time,pruning_method,dataset_size,selection_strategy,apply_pca,k,n_closest,n_furthest,num_epochs,batch_size,learning_rate,experiment_id
1,98.75,64.94155693054199,cluster,30000,furthest,True,50,1,1,5,64,0.001,1
2,98.57,76.46960830688477,cluster,30000,furthest,True,50,1,1,5,64,0.001,1
3,98.78,145.2842197418213,cluster,30000,furthest,True,50,1,1,5,64,0.001,1
4,98.6,67.96372294425964,cluster,30000,furthest,True,50,1,1,5,64,0.001,1
5,98.61,61.36836385726929,cluster,30000,furthest,True,50,1,1,5,64,0.001,1
