run_id,accuracy,time,pruning_method,dataset_size,selection_strategy,apply_pca,k,n_closest,n_furthest,num_epochs,batch_size,learning_rate,experiment_id
1,12.18,2.5048437118530273,random,60,,False,1,1,1,5,64,0.001,1
2,13.15,2.2180192470550537,random,60,,False,1,1,1,5,64,0.001,1
3,12.68,2.36297607421875,random,60,,False,1,1,1,5,64,0.001,1
4,18.38,2.621255874633789,random,60,,False,1,1,1,5,64,0.001,1
5,31.73,2.2678070068359375,random,60,,False,1,1,1,5,64,0.001,1
1,82.37,2.929086923599243,random,600,,False,1,1,1,5,64,0.001,2
2,90.93,3.4712412357330322,random,600,,False,1,1,1,5,64,0.001,2
3,91.16,3.2336058616638184,random,600,,False,1,1,1,5,64,0.001,2
4,89.48,3.1676619052886963,random,600,,False,1,1,1,5,64,0.001,2
5,85.62,3.0936801433563232,random,600,,False,1,1,1,5,64,0.001,2
1,93.88,3.9381191730499268,random,1200,,False,1,1,1,5,64,0.001,3
2,93.26,4.650722026824951,random,1200,,False,1,1,1,5,64,0.001,3
3,93.46,4.660038232803345,random,1200,,False,1,1,1,5,64,0.001,3
4,92.97,4.589623928070068,random,1200,,False,1,1,1,5,64,0.001,3
5,93.66,4.150663137435913,random,1200,,False,1,1,1,5,64,0.001,3
1,96.5,6.562211751937866,random,3000,,False,1,1,1,5,64,0.001,4
2,96.09,7.060362100601196,random,3000,,False,1,1,1,5,64,0.001,4
3,95.75,7.601999044418335,random,3000,,False,1,1,1,5,64,0.001,4
4,96.25,6.889543056488037,random,3000,,False,1,1,1,5,64,0.001,4
5,96.55,6.9530029296875,random,3000,,False,1,1,1,5,64,0.001,4
1,97.59,11.009581089019775,random,6000,,False,1,1,1,5,64,0.001,5
2,96.9,11.523324966430664,random,6000,,False,1,1,1,5,64,0.001,5
3,96.93,10.740649223327637,random,6000,,False,1,1,1,5,64,0.001,5
4,96.92,11.628352880477905,random,6000,,False,1,1,1,5,64,0.001,5
5,97.54,12.329380750656128,random,6000,,False,1,1,1,5,64,0.001,5
1,97.5,53.626769065856934,random,30000,,False,1,1,1,5,64,0.001,6
2,98.41,55.19579029083252,random,30000,,False,1,1,1,5,64,0.001,6
3,98.73,51.64315223693848,random,30000,,False,1,1,1,5,64,0.001,6
4,98.32,54.711211919784546,random,30000,,False,1,1,1,5,64,0.001,6
5,98.75,57.69121193885803,random,30000,,False,1,1,1,5,64,0.001,6
1,26.64,3.124703884124756,cluster,60,closest,True,50,1,1,5,64,0.001,7
2,23.8,3.087228775024414,cluster,60,closest,True,50,1,1,5,64,0.001,7
3,22.05,2.9635391235351562,cluster,60,closest,True,50,1,1,5,64,0.001,7
4,30.36,2.8532001972198486,cluster,60,closest,True,50,1,1,5,64,0.001,7
5,28.15,3.2036280632019043,cluster,60,closest,True,50,1,1,5,64,0.001,7
1,12.51,2.9281580448150635,cluster,60,furthest,True,50,1,1,5,64,0.001,8
2,9.83,2.998363971710205,cluster,60,furthest,True,50,1,1,5,64,0.001,8
3,14.08,3.0908260345458984,cluster,60,furthest,True,50,1,1,5,64,0.001,8
4,13.95,3.0872230529785156,cluster,60,furthest,True,50,1,1,5,64,0.001,8
