run_id,accuracy,time,pruning_method,dataset_size,selection_strategy,apply_pca,k,n_closest,n_furthest,num_epochs,batch_size,learning_rate,experiment_id
5,17.76,3.2579948902130127,cluster,60,furthest,True,50,1,1,5,64,0.001,8
1,15.69,3.3952248096466064,cluster,60,random,True,50,1,1,5,64,0.001,9
2,32.04,3.2201406955718994,cluster,60,random,True,50,1,1,5,64,0.001,9
3,12.82,3.001835823059082,cluster,60,random,True,50,1,1,5,64,0.001,9
4,29.37,2.853205919265747,cluster,60,random,True,50,1,1,5,64,0.001,9
5,11.91,2.9616379737854004,cluster,60,random,True,50,1,1,5,64,0.001,9
1,26.52,4.014297962188721,cluster,60,closest,True,500,1,1,5,64,0.001,10
2,33.37,3.999828815460205,cluster,60,closest,True,500,1,1,5,64,0.001,10
3,37.76,4.107496738433838,cluster,60,closest,True,500,1,1,5,64,0.001,10
4,45.96,3.763521909713745,cluster,60,closest,True,500,1,1,5,64,0.001,10
5,21.6,3.9329140186309814,cluster,60,closest,True,500,1,1,5,64,0.001,10
1,20.93,3.8033030033111572,cluster,60,furthest,True,500,1,1,5,64,0.001,11
2,14.86,3.7377610206604004,cluster,60,furthest,True,500,1,1,5,64,0.001,11
3,9.85,4.442513942718506,cluster,60,furthest,True,500,1,1,5,64,0.001,11
4,17.03,4.05345606803894,cluster,60,furthest,True,500,1,1,5,64,0.001,11
5,14.22,3.827974796295166,cluster,60,furthest,True,500,1,1,5,64,0.001,11
1,28.09,4.6453142166137695,cluster,60,random,True,500,1,1,5,64,0.001,12
2,38.4,4.069666147232056,cluster,60,random,True,500,1,1,5,64,0.001,12
3,15.43,3.5487589836120605,cluster,60,random,True,500,1,1,5,64,0.001,12
4,38.93,3.7959959506988525,cluster,60,random,True,500,1,1,5,64,0.001,12
5,15.68,3.5839388370513916,cluster,60,random,True,500,1,1,5,64,0.001,12
1,86.23,4.438894033432007,cluster,600,closest,True,50,1,1,5,64,0.001,13
2,86.45,4.148957014083862,cluster,600,closest,True,50,1,1,5,64,0.001,13
3,84.08,4.17490291595459,cluster,600,closest,True,50,1,1,5,64,0.001,13
4,87.35,4.1577308177948,cluster,600,closest,True,50,1,1,5,64,0.001,13
5,84.74,3.943406105041504,cluster,600,closest,True,50,1,1,5,64,0.001,13
1,70.37,3.770128011703491,cluster,600,furthest,True,50,1,1,5,64,0.001,14
2,65.89,4.608815908432007,cluster,600,furthest,True,50,1,1,5,64,0.001,14
3,61.07,4.0546910762786865,cluster,600,furthest,True,50,1,1,5,64,0.001,14
4,61.41,3.7968549728393555,cluster,600,furthest,True,50,1,1,5,64,0.001,14
5,64.03,3.6793999671936035,cluster,600,furthest,True,50,1,1,5,64,0.001,14
1,89.71,3.722459077835083,cluster,600,random,True,50,1,1,5,64,0.001,15
2,86.96,3.6302809715270996,cluster,600,random,True,50,1,1,5,64,0.001,15
3,88.21,3.97021484375,cluster,600,random,True,50,1,1,5,64,0.001,15
4,92.03,4.178323984146118,cluster,600,random,True,50,1,1,5,64,0.001,15
5,87.63,4.277406930923462,cluster,600,random,True,50,1,1,5,64,0.001,15
1,88.27,5.291097164154053,cluster,600,closest,True,500,1,1,5,64,0.001,16
2,88.79,4.596893787384033,cluster,600,closest,True,500,1,1,5,64,0.001,16
3,86.48,4.64523983001709,cluster,600,closest,True,500,1,1,5,64,0.001,16
4,88.19,5.017241716384888,cluster,600,closest,True,500,1,1,5,64,0.001,16
5,87.55,5.0991370677948,cluster,600,closest,True,500,1,1,5,64,0.001,16
1,66.81,5.084444999694824,cluster,600,furthest,True,500,1,1,5,64,0.001,17
2,51.25,4.560827970504761,cluster,600,furthest,True,500,1,1,5,64,0.001,17
3,68.2,5.077455759048462,cluster,600,furthest,True,500,1,1,5,64,0.001,17
4,60.57,4.234696865081787,cluster,600,furthest,True,500,1,1,5,64,0.001,17
5,69.03,4.474982976913452,cluster,600,furthest,True,500,1,1,5,64,0.001,17
1,84.01,5.117578983306885,cluster,600,random,True,500,1,1,5,64,0.001,18
2,86.36,4.730792284011841,cluster,600,random,True,500,1,1,5,64,0.001,18
3,88.14,4.691096782684326,cluster,600,random,True,500,1,1,5,64,0.001,18
4,85.92,4.2227067947387695,cluster,600,random,True,500,1,1,5,64,0.001,18
5,87.85,4.716038942337036,cluster,600,random,True,500,1,1,5,64,0.001,18
1,87.68,5.189273834228516,cluster,1200,closest,True,50,1,1,5,64,0.001,19
2,88.92,5.304272890090942,cluster,1200,closest,True,50,1,1,5,64,0.001,19
3,89.27,5.306947946548462,cluster,1200,closest,True,50,1,1,5,64,0.001,19
4,88.76,5.137520790100098,cluster,1200,closest,True,50,1,1,5,64,0.001,19
5,89.35,5.357256174087524,cluster,1200,closest,True,50,1,1,5,64,0.001,19
1,85.17,5.621474742889404,cluster,1200,furthest,True,50,1,1,5,64,0.001,20
2,91.62,4.805733919143677,cluster,1200,furthest,True,50,1,1,5,64,0.001,20
3,88.13,4.576253890991211,cluster,1200,furthest,True,50,1,1,5,64,0.001,20
4,89.32,4.466449022293091,cluster,1200,furthest,True,50,1,1,5,64,0.001,20
5,85.76,4.893912076950073,cluster,1200,furthest,True,50,1,1,5,64,0.001,20
1,92.88,5.292568683624268,cluster,1200,random,True,50,1,1,5,64,0.001,21
2,93.94,5.516510009765625,cluster,1200,random,True,50,1,1,5,64,0.001,21
3,92.92,4.914363145828247,cluster,1200,random,True,50,1,1,5,64,0.001,21
4,93.38,4.630934000015259,cluster,1200,random,True,50,1,1,5,64,0.001,21
5,93.71,4.624114036560059,cluster,1200,random,True,50,1,1,5,64,0.001,21
1,92.74,4.9046220779418945,cluster,1200,closest,True,500,1,1,5,64,0.001,22
2,93.14,4.941370010375977,cluster,1200,closest,True,500,1,1,5,64,0.001,22
3,92.87,4.680679082870483,cluster,1200,closest,True,500,1,1,5,64,0.001,22
4,92.86,4.9028160572052,cluster,1200,closest,True,500,1,1,5,64,0.001,22
5,93.13,4.96355414390564,cluster,1200,closest,True,500,1,1,5,64,0.001,22
1,86.32,4.9195849895477295,cluster,1200,furthest,True,500,1,1,5,64,0.001,23
2,87.93,5.1387550830841064,cluster,1200,furthest,True,500,1,1,5,64,0.001,23
3,92.32,5.834610939025879,cluster,1200,furthest,True,500,1,1,5,64,0.001,23
4,92.6,4.8770411014556885,cluster,1200,furthest,True,500,1,1,5,64,0.001,23
5,90.3,5.216430902481079,cluster,1200,furthest,True,500,1,1,5,64,0.001,23
1,93.19,5.049609899520874,cluster,1200,random,True,500,1,1,5,64,0.001,24
2,93.26,4.8979411125183105,cluster,1200,random,True,500,1,1,5,64,0.001,24
3,92.33,4.768158197402954,cluster,1200,random,True,500,1,1,5,64,0.001,24
4,91.36,4.9784462451934814,cluster,1200,random,True,500,1,1,5,64,0.001,24
5,93.52,5.118152856826782,cluster,1200,random,True,500,1,1,5,64,0.001,24
1,91.21,7.182370185852051,cluster,3000,closest,True,50,1,1,5,64,0.001,25
2,89.37,10.331299066543579,cluster,3000,closest,True,50,1,1,5,64,0.001,25
3,91.37,8.472431898117065,cluster,3000,closest,True,50,1,1,5,64,0.001,25
4,90.61,8.42994499206543,cluster,3000,closest,True,50,1,1,5,64,0.001,25
5,89.61,7.820708751678467,cluster,3000,closest,True,50,1,1,5,64,0.001,25
1,96.31,8.17049789428711,cluster,3000,furthest,True,50,1,1,5,64,0.001,26
2,96.73,9.364856719970703,cluster,3000,furthest,True,50,1,1,5,64,0.001,26
3,96.45,8.70491099357605,cluster,3000,furthest,True,50,1,1,5,64,0.001,26
4,96.8,9.213314056396484,cluster,3000,furthest,True,50,1,1,5,64,0.001,26
5,96.64,9.359791040420532,cluster,3000,furthest,True,50,1,1,5,64,0.001,26
1,96.15,8.529217004776001,cluster,3000,random,True,50,1,1,5,64,0.001,27
2,95.91,8.917622089385986,cluster,3000,random,True,50,1,1,5,64,0.001,27
3,96.03,8.694015979766846,cluster,3000,random,True,50,1,1,5,64,0.001,27
4,96.47,8.32356309890747,cluster,3000,random,True,50,1,1,5,64,0.001,27
5,95.39,9.221315145492554,cluster,3000,random,True,50,1,1,5,64,0.001,27
1,94.32,8.988756895065308,cluster,3000,closest,True,500,1,1,5,64,0.001,28
2,94.35,8.579471111297607,cluster,3000,closest,True,500,1,1,5,64,0.001,28
3,94.41,8.586205959320068,cluster,3000,closest,True,500,1,1,5,64,0.001,28
4,93.63,9.096636056900024,cluster,3000,closest,True,500,1,1,5,64,0.001,28
5,94.53,9.354107856750488,cluster,3000,closest,True,500,1,1,5,64,0.001,28
1,97.02,9.933046817779541,cluster,3000,furthest,True,500,1,1,5,64,0.001,29
2,96.96,9.143126010894775,cluster,3000,furthest,True,500,1,1,5,64,0.001,29
3,96.7,10.75652003288269,cluster,3000,furthest,True,500,1,1,5,64,0.001,29
4,97.08,9.698405981063843,cluster,3000,furthest,True,500,1,1,5,64,0.001,29
5,96.81,9.12015175819397,cluster,3000,furthest,True,500,1,1,5,64,0.001,29
1,96.92,10.190157175064087,cluster,3000,random,True,500,1,1,5,64,0.001,30
2,96.42,9.170525789260864,cluster,3000,random,True,500,1,1,5,64,0.001,30
3,96.48,8.750389099121094,cluster,3000,random,True,500,1,1,5,64,0.001,30
4,95.76,9.222157001495361,cluster,3000,random,True,500,1,1,5,64,0.001,30
5,96.46,9.501063108444214,cluster,3000,random,True,500,1,1,5,64,0.001,30
1,91.87,13.847587823867798,cluster,6000,closest,True,50,1,1,5,64,0.001,31
2,91.96,14.587062120437622,cluster,6000,closest,True,50,1,1,5,64,0.001,31
3,93.61,15.377395153045654,cluster,6000,closest,True,50,1,1,5,64,0.001,31
4,90.5,13.663057088851929,cluster,6000,closest,True,50,1,1,5,64,0.001,31
5,92.68,14.05078411102295,cluster,6000,closest,True,50,1,1,5,64,0.001,31
1,97.24,14.231205701828003,cluster,6000,furthest,True,50,1,1,5,64,0.001,32
2,97.48,15.235814809799194,cluster,6000,furthest,True,50,1,1,5,64,0.001,32
3,97.5,14.64816403388977,cluster,6000,furthest,True,50,1,1,5,64,0.001,32
4,97.64,14.583886861801147,cluster,6000,furthest,True,50,1,1,5,64,0.001,32
5,97.91,14.879281044006348,cluster,6000,furthest,True,50,1,1,5,64,0.001,32
1,96.78,13.390310049057007,cluster,6000,random,True,50,1,1,5,64,0.001,33
2,97.28,13.653325080871582,cluster,6000,random,True,50,1,1,5,64,0.001,33
3,97.55,14.601818799972534,cluster,6000,random,True,50,1,1,5,64,0.001,33
4,96.93,13.49535322189331,cluster,6000,random,True,50,1,1,5,64,0.001,33
5,95.99,13.038105010986328,cluster,6000,random,True,50,1,1,5,64,0.001,33
1,95.34,15.056083917617798,cluster,6000,closest,True,500,1,1,5,64,0.001,34
2,95.21,14.394764184951782,cluster,6000,closest,True,500,1,1,5,64,0.001,34
3,96.3,15.995870113372803,cluster,6000,closest,True,500,1,1,5,64,0.001,34
4,93.8,14.785459041595459,cluster,6000,closest,True,500,1,1,5,64,0.001,34
5,95.56,14.598489999771118,cluster,6000,closest,True,500,1,1,5,64,0.001,34
1,98.02,15.167174816131592,cluster,6000,furthest,True,500,1,1,5,64,0.001,35
2,98.22,15.70731496810913,cluster,6000,furthest,True,500,1,1,5,64,0.001,35
3,97.1,13.727385759353638,cluster,6000,furthest,True,500,1,1,5,64,0.001,35
4,96.64,14.231251955032349,cluster,6000,furthest,True,500,1,1,5,64,0.001,35
5,98.18,14.397273063659668,cluster,6000,furthest,True,500,1,1,5,64,0.001,35
1,96.86,15.851080179214478,cluster,6000,random,True,500,1,1,5,64,0.001,36
2,97.57,15.434649229049683,cluster,6000,random,True,500,1,1,5,64,0.001,36
3,97.8,17.101821184158325,cluster,6000,random,True,500,1,1,5,64,0.001,36
4,97.9,16.030894994735718,cluster,6000,random,True,500,1,1,5,64,0.001,36
5,97.34,18.529341220855713,cluster,6000,random,True,500,1,1,5,64,0.001,36
1,97.98,73.05181097984314,cluster,30000,closest,True,50,1,1,5,64,0.001,37
2,96.93,68.95568990707397,cluster,30000,closest,True,50,1,1,5,64,0.001,37
3,97.91,64.33260583877563,cluster,30000,closest,True,50,1,1,5,64,0.001,37
4,97.81,62.42596912384033,cluster,30000,closest,True,50,1,1,5,64,0.001,37
5,96.26,69.33402895927429,cluster,30000,closest,True,50,1,1,5,64,0.001,37
1,98.83,61.58765506744385,cluster,30000,furthest,True,50,1,1,5,64,0.001,38
2,98.86,76.90196084976196,cluster,30000,furthest,True,50,1,1,5,64,0.001,38
3,98.91,60.82113528251648,cluster,30000,furthest,True,50,1,1,5,64,0.001,38
4,98.54,61.09249496459961,cluster,30000,furthest,True,50,1,1,5,64,0.001,38
5,98.82,71.26515412330627,cluster,30000,furthest,True,50,1,1,5,64,0.001,38
1,98.1,62.942368030548096,cluster,30000,random,True,50,1,1,5,64,0.001,39
2,98.69,62.8865270614624,cluster,30000,random,True,50,1,1,5,64,0.001,39
3,98.86,57.32080411911011,cluster,30000,random,True,50,1,1,5,64,0.001,39
4,98.5,59.69079780578613,cluster,30000,random,True,50,1,1,5,64,0.001,39
5,98.21,69.73545598983765,cluster,30000,random,True,50,1,1,5,64,0.001,39
1,98.59,64.69454598426819,cluster,30000,closest,True,500,1,1,5,64,0.001,40
2,97.49,55.86542797088623,cluster,30000,closest,True,500,1,1,5,64,0.001,40
3,98.0,56.82659316062927,cluster,30000,closest,True,500,1,1,5,64,0.001,40
4,98.58,72.42423391342163,cluster,30000,closest,True,500,1,1,5,64,0.001,40
5,97.79,56.680371046066284,cluster,30000,closest,True,500,1,1,5,64,0.001,40
1,98.81,54.213993072509766,cluster,30000,furthest,True,500,1,1,5,64,0.001,41
2,99.04,78.47926688194275,cluster,30000,furthest,True,500,1,1,5,64,0.001,41
3,98.82,66.84097909927368,cluster,30000,furthest,True,500,1,1,5,64,0.001,41
4,98.39,62.34643626213074,cluster,30000,furthest,True,500,1,1,5,64,0.001,41
5,99.0,57.63234305381775,cluster,30000,furthest,True,500,1,1,5,64,0.001,41
1,98.76,69.56764912605286,cluster,30000,random,True,500,1,1,5,64,0.001,42
2,98.18,59.521289110183716,cluster,30000,random,True,500,1,1,5,64,0.001,42
3,98.32,51.1848349571228,cluster,30000,random,True,500,1,1,5,64,0.001,42
4,98.87,55.538763999938965,cluster,30000,random,True,500,1,1,5,64,0.001,42
5,98.67,54.07176494598389,cluster,30000,random,True,500,1,1,5,64,0.001,42
